"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 24 05:02:43 UTC 2024","Wed Jan 24 05:02:43 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Jan 24 05:07:17 UTC 2024","Wed Jan 24 05:07:22 UTC 2024","4990","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Jan 24 05:28:11 UTC 2024","Wed Jan 24 05:28:14 UTC 2024","2465","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Jan 24 04:38:54 UTC 2024","Wed Jan 24 04:38:55 UTC 2024","496","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"broken","Wed Jan 24 05:02:43 UTC 2024","Wed Jan 24 05:02:43 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Jan 24 05:27:40 UTC 2024","Wed Jan 24 05:27:55 UTC 2024","14356","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Jan 24 04:46:14 UTC 2024","Wed Jan 24 04:46:29 UTC 2024","15428","","9. Client Portal - Home","","","","1. Check links",""
"failed","Wed Jan 24 05:44:34 UTC 2024","Wed Jan 24 05:47:07 UTC 2024","152468","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Wed Jan 24 05:23:23 UTC 2024","Wed Jan 24 05:23:23 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Jan 24 05:27:55 UTC 2024","Wed Jan 24 05:27:59 UTC 2024","3815","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Jan 24 05:49:21 UTC 2024","Wed Jan 24 05:49:22 UTC 2024","322","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Jan 24 05:04:47 UTC 2024","Wed Jan 24 05:05:04 UTC 2024","17065","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Jan 24 04:37:09 UTC 2024","Wed Jan 24 04:37:46 UTC 2024","36616","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Jan 24 04:38:52 UTC 2024","Wed Jan 24 04:38:54 UTC 2024","1731","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jan 24 04:41:35 UTC 2024","Wed Jan 24 04:41:38 UTC 2024","3478","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jan 24 05:44:22 UTC 2024","Wed Jan 24 05:44:32 UTC 2024","9651","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Jan 24 04:38:16 UTC 2024","Wed Jan 24 04:38:20 UTC 2024","3378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jan 24 04:41:38 UTC 2024","Wed Jan 24 04:41:39 UTC 2024","363","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Jan 24 05:44:10 UTC 2024","Wed Jan 24 05:44:22 UTC 2024","12125","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Jan 24 04:41:00 UTC 2024","Wed Jan 24 04:41:10 UTC 2024","10364","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"skipped","Wed Jan 24 05:02:43 UTC 2024","Wed Jan 24 05:02:43 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Wed Jan 24 06:59:46 UTC 2024","Wed Jan 24 06:59:46 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
